Year,Month,Day,Hour,Min,Sec,Weekday,Miles,Minutes,Status
2017,11,17,14,47,42,4,15.1,28.0,OK
2017,11,17,15,02,47,4,15.1,30.0,OK
2017,11,17,15,17,51,4,15.1,32.0,OK
2017,11,17,15,32,56,4,15.1,35.0,OK
2017,11,17,15,48,00,4,15.1,37.0,OK
2017,11,17,16,03,05,4,15.1,40.0,OK
2017,11,17,16,18,09,4,15.1,41.0,OK
2017,11,17,16,33,14,4,15.1,39.0,OK
2017,11,17,16,48,18,4,15.1,41.0,OK
2017,11,17,17,03,24,4,15.1,44.0,OK
2017,11,17,17,18,30,4,15.1,42.0,OK
2017,11,17,17,33,34,4,15.1,46.0,OK
2017,11,17,17,48,39,4,15.1,47.0,OK
2017,11,17,18,03,44,4,15.1,39.0,OK
2017,11,17,18,18,49,4,15.1,36.0,OK
2017,11,17,18,33,53,4,15.1,34.0,OK
2017,11,17,18,48,59,4,15.1,30.0,OK
2017,11,17,19,04,03,4,15.1,26.0,OK
2017,11,17,19,19,09,4,15.1,29.0,OK
2017,11,17,19,34,15,4,15.1,24.0,OK
2017,11,17,19,49,19,4,15.1,22.0,OK
2017,11,17,20,04,24,4,15.1,22.0,OK
2017,11,17,20,19,29,4,15.1,23.0,OK
2017,11,17,20,34,34,4,15.1,22.0,OK
2017,11,17,20,49,39,4,15.1,21.0,OK
2017,11,17,21,04,45,4,15.1,21.0,OK
2017,11,17,21,19,50,4,15.1,21.0,OK
2017,11,17,21,34,54,4,15.1,21.0,OK
2017,11,17,21,49,59,4,15.1,21.0,OK
2017,11,17,22,05,04,4,15.1,22.0,OK
2017,11,17,22,20,09,4,15.1,21.0,OK
2017,11,17,22,35,15,4,15.1,21.0,OK
2017,11,17,22,50,20,4,15.1,20.0,OK
2017,11,17,23,05,24,4,15.1,20.0,OK
2017,11,17,23,20,30,4,15.1,20.0,OK
